id,csa2010,mortgage,rent,completion,dropout,income,market,sold,naics,sectors,arts,under50,tested06,homes,grade5,grade8,grade12,jobs,part1,absent5,absent8,absent12,birthweight,term,prenatal,business1,business2,business4,lead06,commercial5k,travel14,travel29,travel44,travel45,outsidecity,weatherized,earning40k,earking60k,earning75k,earning25k,earning75kplus,black,hispanic,white,employed64,noinlabor64,unemployed64,nomail,math3,reading3,math5,reading5,math8,reading8,owner,work19,forclosure,properties5k,vacant,violations,algebra,stormdrain,alleys,teenpregnancy,artsbusiness,businesses,commercialproperties,employeesnaics,residential,unemployment,population,violentcrime
1,Allendale/Irvington/S. Hilton,32.8,47.5,73.9,1.7,"42,714.60",25.5,"120,000",8.2,8.2,,189,150,75,731,467,646,"2,036",51.9,44.6,46.2,61,85.3,84.7,58.2,5.5,13.4,17.4,0,10.8,9.6,43.1,28.4,18.9,60.8,0.1,17.8,25,10.5,27.3,19.5,92.2,3.6,3.6,63.6,28.5,7.7,10.2,44,58.2,40.1,69.4,18.5,50,52.3,88.5,0.4,3.9,6.5,2.9,35.6,5.4,77.8,26,,201,278,981,"5,750",9.7,"14,828",20
2,Beechfield/Ten Hills/West Hills,37.8,56.8,78.6,0.8,"55,435.50",15,"259,950",6.5,6.5,0.1,112,259,38,546,316,361,"1,271",30.7,33.1,35.3,50.9,89,92.3,67.1,7.1,15.9,21.4,0,15.6,11.9,45.1,30.2,12.8,63.6,0.1,19.6,18.2,11.8,16.8,33.5,91.1,5,5,78.4,19.8,1.8,3,48.3,60.9,51.4,82.2,30.3,61.3,75.5,91.1,0.2,3.8,0.6,0.8,40.9,3.1,24.2,32.1,4,126,45,846,"3,610",2.9,"12,083",9.8
3,Belair-Edison,32,63.1,81.6,0.8,"50,010.40",20.5,"139,900",8.4,8.4,0.2,146,,73,"1,038",634,793,"1,342",44,44,45.6,57.2,80.9,81.9,60.1,6.2,16.8,18,,10.4,6.9,38.2,25.9,29,51,0.1,15.9,18.4,8.1,23.8,33.9,94.7,2.3,2.3,61,36.9,1.9,9.7,39.4,52.1,37.2,72.9,21.3,48.4,54.2,81,0.4,3.3,3.3,2.3,34.3,3,74.8,27,21,161,163,770,"6,292",7.9,"15,085",15.9
4,Brooklyn/Curtis Bay/Hawkins Point,50.2,52.1,69.3,4.7,"32,598.80",22,"117,450",13.4,13.4,0.2,317,145,56,"1,052",626,598,"8,512",55.6,47.8,40.8,69.3,89.3,83.7,51.5,4,12.4,17,0,4,9.2,31.7,26.3,32.7,72,0,16.8,14.9,5.7,41.5,21.1,45.1,33.5,33.5,60.8,32.1,6.5,15.8,53.3,54,31.9,68.9,24,47,37,62.6,0.4,2.6,8.1,3.5,36,6.5,108.3,61.5,27,347,755,"1,413","4,273",12,"13,479",17.6
5,Canton,20.5,26.7,,,"134,208.80",28,"350,000",27.7,27.7,0.8,294,154,105,86,40,15,"2,787",35.9,3.2,2.2,41.7,95.3,92.2,85.3,4.7,14.7,19.1,0,11.1,13.7,43.1,29.2,14.1,51.4,0,4.4,6.1,9.6,8.2,71.7,12.8,17.7,17.7,86.6,9.9,2.8,5.5,86.7,70,76.2,90,61.5,83.3,65.1,100,0.2,6.1,0.4,1.1,50,4.6,36.3,23.3,30,319,189,"1,940","4,036",2.6,"8,239",5.2
6,Cedonia/Frankford,30.3,46.7,77.5,1,"51,097.80",20,"205,000",10.2,10.2,0.2,300,356,66,"1,392",785,"1,013","1,927",40.2,33.6,33.6,48.3,87.3,85.7,69.4,5.6,16.7,20.4,0,5.5,9.4,32.4,36.4,21.8,53.2,0.1,20.7,18.7,8.9,19.5,32.2,90.7,3.6,3.6,69,27.9,3.1,3.8,53.5,62.5,48,72.8,32.6,56.1,68.8,91.8,0.5,5,1.2,1.8,36.1,3.5,18.7,22.8,18,323,235,"1,643","6,295",6.1,"22,455",13.3
7,Cherry Hill,34.7,40.8,72.7,4.9,"24,762.10",24.5,"67,000",13.1,13.1,0.4,117,103,3,663,403,425,"2,364",40.4,59.1,71.3,67.6,72.2,74.3,56.9,8.1,22.1,23.5,0,25.8,15.2,38.4,30.2,16.2,61.8,0.1,18.4,12.8,6.6,50.3,11.9,94,4.6,4.6,57.3,37.5,5.2,4.9,32.6,36.4,30.5,67.4,15,40.7,43.6,72.5,0.1,1.4,6,2.8,23.7,8.9,15.1,49,23,136,93,"2,043",986,14.1,"7,496",19.1
8,Chinquapin Park/Belvedere,28.5,41,81.8,2.4,"59,616.50",15,"220,000",11.5,11.5,0.3,109,158,25,322,199,251,471,26.9,31.4,34.3,46,87.2,88.4,65.1,7.9,21.1,27.2,0,17.9,15.7,34.4,21.9,28.1,56.3,0.1,11.1,19.2,9.8,20.1,39.8,87.8,3.4,3.4,78.8,19,2.2,10.4,60.7,69,47.8,81.2,26.6,62.5,64.8,100,0.4,3.9,0.8,1.2,29.2,4.6,23.4,12.7,4,114,56,678,"2,685",5.8,"7,219",9
9,Claremont/Armistead,35.9,42.8,80.2,1.9,"40,449.70",21,"195,000",8.3,8.3,0.1,164,166,6,793,461,466,"1,963",48.1,34.9,35.6,50.1,89.2,89.9,62.7,3.9,13.9,15,0,5.7,21.6,40.2,17.8,20.4,56.8,0,16.2,17.4,10,33.2,23.2,52.4,35.3,35.3,66.2,32,1.8,4.8,46.1,58.2,56,74.8,32.6,60.9,82.4,91.9,0.3,1.8,0.1,0.5,38.9,3,17,37.6,4,180,227,615,"2,278",2.3,"9,064",16.9
10,Clifton-Berea,31.5,51.5,70.8,2.8,"39,619.10",26.5,"75,500",12.1,12.1,,120,182,48,590,321,395,"1,193",70.3,51.4,56.6,61.1,86.7,83.3,57.5,5.5,16.4,22.7,0,15.9,14.9,37.1,20.9,27,51.5,0,18.1,20.1,7.4,32.3,22.1,93.5,4.6,4.6,54,38.8,7.2,11.4,30.5,34.5,24.8,58.1,9.7,45.5,27.5,81,0.2,4.9,23.7,7.3,29.7,5.7,193.7,20.6,,128,145,591,"4,629",12.9,"7,577",30.9
